drugID,medication,adrID,n11,n10,n01,n00,relevance
86,busulfan,a0,6,16,724,6514,3
1057,butalbital,a0,1,44,729,6486,0
627,butamben,a0,2,12,728,6518,0
964,butorphanol,a0,2,30,728,6500,1
626,butyl aminobenzoate,a0,2,12,728,6518,0
242,c1 inhibitor (esterase?),a0,0,1,730,6529,0
231,c1 inhibitor (human) (esterase?),a0,0,1,730,6529,0
518,cabergoline,a0,0,3,730,6527,0
1135,caffeine,a0,4,84,726,6446,0
636,calamine,a0,1,8,729,6522,0
514,calcipotriene,a0,0,3,730,6527,0
519,calcipotriene preparation,a0,0,3,730,6527,0
554,calcipotriol,a0,0,3,730,6527,0
785,calcitonin salmon,a0,1,13,729,6517,0
779,calcitriol,a0,2,17,728,6513,0
781,calcitriol preparation,a0,2,17,728,6513,0
1277,calcium (as calcium carbonate),a0,62,741,668,5789,1
1278,calcium (as carbonate),a0,62,741,668,5789,1
566,calcium (as citrate),a0,4,20,726,6510,0
557,calcium acetate,a0,2,10,728,6520,0
536,calcium ascorbate,a0,0,3,730,6527,0
1276,calcium carbonate,a0,62,741,668,5789,1
1286,calcium chloride,a0,163,1633,567,4897,1
565,calcium citrate,a0,4,20,726,6510,0
16,calcium gluconate,a0,44,218,686,6312,3
155,calcium polycarbophil,a0,2,4,728,6526,0
564,camphor,a0,4,20,726,6510,0
676,camustine (carmustine?),a0,1,9,729,6521,2
678,capecitabine,a0,1,9,729,6521,2
569,capsaicin,a0,2,11,728,6519,0
647,captopril,a0,0,5,730,6525,3
346,carbachol,a0,0,1,730,6529,0
1022,carbamazepine,a0,5,58,725,6472,2
852,carbamide peroxide,a0,0,12,730,6518,0
973,carbidopa,a0,0,21,730,6509,0
144,carbonyl iron (fe(co)5),a0,1,1,729,6529,0
845,carboplatin,a0,2,21,728,6509,1
997,carboprost,a0,1,29,729,6501,1
860,carboxymethylcellulose,a0,4,32,726,6498,0
273,carfilzomib,a0,0,1,730,6529,4
1001,carisoprodol,a0,3,42,727,6488,0
674,carmustine,a0,1,9,729,6521,2
649,carotene beta,a0,0,5,730,6525,0
1020,carvedilol,a0,61,466,669,6064,0
300,casanthranol,a0,0,1,730,6529,0
244,cascara,a0,0,1,730,6529,0
338,cascara sagrada,a0,0,1,730,6529,0
343,cascara sagrada extract,a0,0,1,730,6529,0
12,caspofungin,a0,19,31,711,6499,5
530,castor oil,a0,0,3,730,6527,0
525,castor oil liquid,a0,0,3,730,6527,0
1290,cefazolin,a0,146,1525,584,5005,2
317,cefdinir,a0,0,1,730,6529,2
214,cefdinir product,a0,0,1,730,6529,2
96,cefepime,a0,60,400,670,6130,2
95,cefepime product,a0,60,400,670,6130,2
608,cefixime,a0,0,4,730,6526,2
577,cefotaxime,a0,1,7,729,6523,2
558,cefoxitin,a0,17,99,713,6431,2
890,cefpodoxime,a0,2,23,728,6507,1
635,ceftaroine,a0,1,8,729,6522,2
629,ceftaroline,a0,1,8,729,6522,2
911,ceftazidime,a0,1,19,729,6511,2
1209,ceftriaxone,a0,92,820,638,5710,2
873,cefuroxime,a0,2,22,728,6508,2
1210,celecoxib,a0,8,172,722,6358,2
1211,celecoxib product,a0,8,172,722,6358,2
1193,cephalexin,a0,8,152,722,6378,2
1291,cephazolin,a0,146,1525,584,5005,2
1196,cetirizine,a0,14,200,716,6330,0
433,cetuximab,a0,0,2,730,6528,3
609,cevimeline,a0,0,4,730,6526,0
715,charcoal activated,a0,1,10,729,6520,0
111,chloramphenicol,a0,1,0,729,6530,0
105,chloramphenicol (class of antibiotic),a0,1,0,729,6530,0
1173,chlordiazepoxide,a0,2,87,728,6443,0
641,chlorhexidine,a0,19,116,711,6414,0
1305,chloride (as potassium),a0,466,4419,264,2111,1
443,chloroprocaine,a0,0,2,730,6528,0
438,chloroprocaine product,a0,0,2,730,6528,0
323,chlorothiazide,a0,0,1,730,6529,2
865,chlorpheniramine,a0,5,38,725,6492,0
1059,chlorpromazine,a0,5,70,725,6460,0
966,chlortalidone,a0,0,20,730,6510,0
967,chlorthalidone,a0,0,20,730,6510,2
409,chlorzoxazone,a0,0,2,730,6528,0
471,chlorzoxozone,a0,0,2,730,6528,0
1247,cholecalciferol,a0,74,732,656,5798,0
1246,cholecalciferol preparation,a0,74,732,656,5798,0
620,cholestyramine,a0,6,32,724,6498,0
621,cholestyramine resin,a0,6,32,724,6498,0
749,chondroitin sulfate,a0,0,7,730,6523,0
729,chondroitin sulfates,a0,0,7,730,6523,0
745,chromium picolinate,a0,0,7,730,6523,0
442,ciclesonide,a0,0,2,730,6528,0
227,ciclopirox,a0,0,1,730,6529,0
53,ciclosporin,a0,15,56,715,6474,4
377,cidofovir,a0,1,4,729,6526,4
432,cilastatin,a0,0,2,730,6528,2
138,cilostazol,a0,1,1,729,6529,0
593,cimetidine,a0,0,4,730,6526,2
426,cimicifuga racemosa extract,a0,0,2,730,6528,0
390,cimicifuga racemosa preparation,a0,0,2,730,6528,0
597,cinacalcet,a0,0,4,730,6526,0
1149,ciprofloxacin,a0,30,272,700,6258,2
1150,ciprofloxacin ophthalmic preparation,a0,30,272,700,6258,2
791,cisatracurium,a0,0,9,730,6521,0
670,cisplatin,a0,2,13,728,6517,4
1233,citalopram,a0,47,508,683,6022,2
1148,citric acid,a0,1,67,729,6463,0
1147,citric acid preparation,a0,1,67,729,6463,0
929,clarithromycin,a0,1,21,729,6509,2
1064,clavulanate (only ever with another drug?),a0,13,124,717,6406,0
334,clemastine,a0,0,1,730,6529,0
605,clidinium (with chlordiazepoxide?),a0,0,4,730,6526,0
1205,clindamycin,a0,20,256,710,6274,0
375,clobazam,a0,1,4,729,6526,0
898,clobetasol,a0,5,40,725,6490,0
379,clofarabine,a0,1,4,729,6526,3
283,clomiphene,a0,0,1,730,6529,0
1225,clonazepam,a0,44,463,686,6067,0
567,clonidine,a0,30,191,700,6339,1
1094,clopidogrel,a0,21,192,709,6338,0
932,clorazepate,a0,0,17,730,6513,0
933,clorazepate product,a0,0,17,730,6513,0
882,clotrimazole,a0,7,51,723,6479,0
667,clozapine,a0,2,13,728,6517,2
481,coagulation factor viia,a0,4,18,726,6512,0
143,coagulation factor viii,a0,1,1,729,6529,0
291,coal tar,a0,0,1,730,6529,0
293,coal tar agent,a0,0,1,730,6529,0
215,coal tar crude,a0,0,1,730,6529,0
224,coal tar preparation,a0,0,1,730,6529,0
130,cocaine,a0,1,1,729,6529,0
1084,codeine,a0,31,262,699,6268,0
93,coenzyme q10,a0,8,29,722,6501,0
942,colchcine,a0,2,28,728,6502,1
944,colchicine,a0,2,28,728,6502,1
582,colesevelam,a0,1,7,729,6523,0
634,colestipol,a0,1,8,729,6522,0
191,colistimethate,a0,2,6,728,6524,2
708,collagenase,a0,7,41,723,6489,0
707,collagenase preparation,a0,7,41,723,6489,0
709,collagenase product,a0,7,41,723,6489,0
710,collagenases,a0,7,41,723,6489,0
440,compound tincture benzoin,a0,0,2,730,6528,0
257,conivaptan,a0,0,1,730,6529,1
980,conjugated estrogen,a0,4,43,726,6487,0
977,conjugated estrogen preparation,a0,4,43,726,6487,0
315,copper (as cupric chloride),a0,0,1,730,6529,0
172,copper gluconate,a0,1,2,729,6528,0
559,corn oil,a0,5,25,725,6505,0
560,corn oil - dietary,a0,5,25,725,6505,0
335,cortisone,a0,0,1,730,6529,0
269,cortisone preparation,a0,0,1,730,6529,0
1081,cosyntropin,a0,8,98,722,6432,0
1082,cosyntropin preparation,a0,8,98,722,6432,0
888,cranberry,a0,1,18,729,6512,0
887,cranberry extract,a0,1,18,729,6512,0
644,cromolyn,a0,0,5,730,6525,0
281,cupric chloride,a0,0,1,730,6529,0
212,curcuma,a0,0,1,730,6529,0
1146,cyanocobalamin,a0,22,211,708,6319,0
1142,cyanocobalamin preparation,a0,22,211,708,6319,0
1145,cyanocobalmin,a0,22,211,708,6319,0
1220,cyclobenzaprine,a0,48,479,682,6051,0
602,cyclopentolate,a0,0,4,730,6526,0
386,cyclophosphamide,a0,10,51,720,6479,0
52,cyclosporine,a0,15,56,715,6474,4
693,cyproheptadine,a0,0,6,730,6524,0
875,cytarabine,a0,12,82,718,6448,3
934,dabigatran etexilate,a0,0,17,730,6513,1
152,dacarbazine,a0,2,4,728,6526,1
688,dalfampridine,a0,0,6,730,6524,1
292,dalteparin,a0,0,1,730,6529,0
421,danazol,a0,0,2,730,6528,1
459,danazol preparation,a0,0,2,730,6528,0
666,dantrolene,a0,0,5,730,6525,0
88,dapsone,a0,12,51,718,6479,1
45,daptomycin,a0,19,76,711,6454,3
235,darbepoetin alfa,a0,0,1,730,6529,0
223,darifenacin,a0,0,1,730,6529,0
721,darunavir,a0,2,15,728,6515,3
774,dasatinib,a0,0,8,730,6522,0
161,daunorubicin,a0,1,2,729,6528,2
47,deamino arginine vasopressin,a0,17,64,713,6466,3
551,deferasirox,a0,0,3,730,6527,4
547,dehydroepiandrosterone,a0,0,3,730,6527,0
532,dehydroepiandrosterone preparation,a0,0,3,730,6527,0
1026,delta-9-tetrahydrocannabinol,a0,6,67,724,6463,0
553,demeclocycline,a0,0,3,730,6527,2
529,denosumab,a0,0,3,730,6527,0
1195,desflurane,a0,14,199,716,6331,0
148,desipramine,a0,1,1,729,6529,0
313,desloratadine,a0,0,1,730,6529,0
48,desmopressin,a0,17,64,713,6466,3
49,desmopressin preparation,a0,17,64,713,6466,3
835,desonide,a0,0,11,730,6519,0
203,desoximetasone,a0,1,3,729,6527,0
952,desvenlafaxine,a0,0,18,730,6512,1
1308,dexamethasone,a0,100,1331,630,5199,0
1309,dexamethasone preparation,a0,100,1331,630,5199,0
458,dexchlorpheniramine,a0,0,2,730,6528,0
769,dexlansoprazole,a0,0,8,730,6522,2
488,dexmedetomidine,a0,35,226,695,6304,0
359,dexmethylphenidate,a0,0,1,730,6529,0
174,dextran 70,a0,1,2,729,6528,1
1062,dextroamphetamine,a0,2,52,728,6478,0
1136,dextromethorphan,a0,4,84,726,6446,0
899,dextropropoxyphene,a0,0,14,730,6516,0
885,dextrose,a0,185,1444,545,5086,1
1231,diazepam,a0,61,605,669,5925,0
810,dichloralantipyrine,a0,0,10,730,6520,0
808,dichloralphenazone,a0,0,10,730,6520,0
812,dichlorophenazone,a0,0,10,730,6520,0
1008,diclofenac,a0,3,44,727,6486,2
1009,diclofenac product,a0,3,44,727,6486,2
270,dicloxacillin,a0,0,1,730,6529,0
1164,dicyclomine,a0,10,133,720,6397,0
539,didanosine,a0,0,3,730,6527,1
388,difluprednate,a0,0,2,730,6528,0
895,digoxin,a0,12,83,718,6447,1
787,dihydroergotamine,a0,1,13,729,6517,1
619,diltiazem,a0,35,229,695,6301,0
738,dinoprostone,a0,0,7,730,6523,0
740,dinoprostone preparation,a0,0,7,730,6523,0
1325,dioctyl sulfosuccinate,a0,440,4704,290,1826,0
1284,diphenhydramine,a0,318,2931,412,3599,1
820,diphenoxylate,a0,8,53,722,6477,0
1097,diphtheria toxoid,a0,12,129,718,6401,0
1096,diphtheria vaccine,a0,12,129,718,6401,0
1000,dipyridamole,a0,0,25,730,6505,0
320,disopyramide,a0,0,1,730,6529,1
356,disulfiram,a0,0,1,730,6529,0
1099,divalproex,a0,4,76,726,6454,0
59,dobutamine,a0,10,32,720,6498,0
535,docetaxel,a0,0,3,730,6527,2
1326,docusate,a0,440,4704,290,1826,0
998,dofetilide,a0,1,30,729,6500,0
855,donepezil,a0,0,12,730,6518,2
183,dopamine,a0,6,24,724,6506,0
947,dornase alfa,a0,5,45,725,6485,0
948,dornase alfa rdna,a0,5,45,725,6485,0
495,dorzolamide,a0,1,6,729,6524,1
1003,doxazosin,a0,1,31,729,6499,0
681,doxepin,a0,2,14,728,6516,0
1007,doxorubicin,a0,1,32,729,6498,0
411,doxorubicin liposomal,a0,0,2,730,6528,0
399,doxorubicin liposome,a0,0,2,730,6528,0
1229,doxycycline,a0,23,309,707,6221,0
763,doxylamine,a0,1,12,729,6518,0
1028,dronabinol,a0,6,67,724,6463,0
853,dronedarone,a0,0,12,730,6518,0
1079,droperidol,a0,1,53,729,6477,0
1221,duloxetine,a0,15,229,715,6301,1
658,dutasteride,a0,0,5,730,6525,0
396,echinacea,a0,0,2,730,6528,0
391,echinacea extract,a0,0,2,730,6528,0
469,echinacea preparation,a0,0,2,730,6528,0
1016,efavirenz,a0,0,28,730,6502,0
767,eletriptan,a0,0,8,730,6522,0
119,eltrombopag,a0,1,0,729,6530,2
1035,emtricitabine,a0,3,50,727,6480,1
841,enalapril,a0,5,37,725,6493,2
762,enalaprilat,a0,1,12,729,6518,2
1153,endopeptidase,a0,10,129,720,6401,0
1152,endopeptidases,a0,10,129,720,6401,0
268,enfuvirtide,a0,0,1,730,6529,2
1324,enoxaparin,a0,327,3692,403,2838,1
397,entacapone,a0,0,2,730,6528,0
202,entecavir,a0,1,3,729,6527,3
1256,ephedrine,a0,60,652,670,5878,0
306,epinastine,a0,0,1,730,6529,0
1216,epinephrine,a0,77,703,653,5827,0
1217,epinephrine preparation,a0,77,703,653,5827,0
867,epinephrine racemic,a0,3,27,727,6503,0
201,eplerenone,a0,1,3,729,6527,2
562,epoetin alfa,a0,8,42,722,6488,0
561,epoetin alfa recombinant,a0,8,42,722,6488,0
188,epoprostenol,a0,2,6,728,6524,0
795,eptifibatide,a0,2,18,728,6512,1
1242,ergocalciferol,a0,32,402,698,6128,0
1244,ergocalciferol preparation,a0,32,402,698,6128,0
663,ergotamine,a0,0,5,730,6525,1
754,erlotinib,a0,1,11,729,6519,2
994,ertapenem,a0,44,328,686,6202,2
813,erythromycin,a0,12,78,718,6452,0
1175,escitalopram,a0,24,244,706,6286,2
968,esmolol,a0,19,140,711,6390,0
1052,esomeprazole,a0,64,500,666,6030,1
743,esterified estrogen,a0,0,7,730,6523,0
748,esterified estrogen preparation,a0,0,7,730,6523,0
1126,estradiol,a0,4,80,726,6450,0
1127,estradiol 17-beta,a0,4,80,726,6450,0
1128,estradiol preparation,a0,4,80,726,6450,0
975,estrogens  conjugated (usp),a0,4,43,726,6487,0
746,estrogens  esterified (usp),a0,0,7,730,6523,0
981,estrogens conjugated,a0,4,43,726,6487,0
741,estrogens esterified,a0,0,7,730,6523,0
403,estropipate,a0,0,2,730,6528,0
462,estropipate preparation,a0,0,2,730,6528,0
913,eszopiclone,a0,0,15,730,6515,0
82,etanercept,a0,4,6,726,6524,3
185,ethambutol,a0,2,6,728,6524,1
393,ethanol,a0,0,2,730,6528,0
917,ethinyl estradiol,a0,0,15,730,6515,1
914,ethinyl estradiol preparation,a0,0,15,730,6515,1
413,ethyl alcohol,a0,0,2,730,6528,0
437,ethynodiol,a0,0,2,730,6528,0
419,etidronate,a0,0,2,730,6528,0
689,etodolac,a0,0,6,730,6524,2
28,etomidate,a0,26,106,704,6424,1
294,etonogestrel,a0,0,1,730,6529,0
728,etoposide,a0,8,48,722,6482,0
571,etravirine,a0,1,7,729,6523,3
591,everolimus,a0,0,4,730,6526,4
523,exemestane,a0,0,3,730,6527,0
489,exenatide,a0,1,6,729,6524,2
896,ezetimibe,a0,12,83,718,6447,0
482,factor viia,a0,4,18,726,6512,0
483,factor viia products,a0,4,18,726,6512,0
150,factor viii,a0,1,1,729,6529,0
134,factor viii product,a0,1,1,729,6529,0
534,famciclovir,a0,0,3,730,6527,1
1272,famotidine,a0,197,1815,533,4715,1
699,fampridine,a0,0,6,730,6524,1
685,fampridine (4-aminopyridine),a0,0,6,730,6524,1
394,febuxostat,a0,0,2,730,6528,3
280,felbamate,a0,0,1,730,6529,2
298,felbamate product,a0,0,1,730,6529,2
156,felodipine,a0,2,4,728,6526,0
1024,fenofibrate,a0,9,84,721,6446,2
1273,fentanyl,a0,411,3645,319,2885,2
365,fentanyl citrate,a0,2,7,728,6523,2
497,ferric na gluconate,a0,1,6,729,6524,0
494,ferric na gluconate complex,a0,1,6,729,6524,0
815,ferric oxide  saccharated,a0,9,59,721,6471,0
510,ferrous fumarate,a0,0,3,730,6527,0
160,ferrous gluconate,a0,8,34,722,6496,0
1241,ferrous sulfate,a0,51,549,679,5981,0
402,fesoterodine,a0,0,2,730,6528,1
912,fexofenadine,a0,3,30,727,6500,0
364,fidaxomicin,a0,2,7,728,6523,0
622,filgrastim,a0,27,171,703,6359,0
844,finasteride,a0,2,21,728,6509,0
465,fingolimod,a0,0,2,730,6528,0
109,flavoxate,a0,1,0,729,6530,0
847,flaxseed oil,a0,2,21,728,6509,0
827,flecainide,a0,1,15,729,6515,0
22,fluconazole,a0,80,503,650,6027,3
80,flucytosine,a0,3,2,727,6528,5
56,fludarabine,a0,7,13,723,6517,3
1063,fludrocortisone,a0,2,52,728,6478,0
1061,fludrocortisone preparation,a0,2,52,728,6478,0
1187,flumazenil,a0,49,446,681,6084,0
533,flunisolide,a0,0,3,730,6527,0
503,flunisolide preparation,a0,0,3,730,6527,0
617,fluocinolone,a0,0,4,730,6526,0
771,fluocinonide,a0,0,8,730,6522,0
804,fluoride (as sodium fluoride),a0,3,24,727,6506,0
803,fluoride (as sodium),a0,3,24,727,6506,0
285,fluorometholone,a0,0,1,730,6529,0
236,fluorometholone preparation,a0,0,1,730,6529,0
713,fluorouracil,a0,1,10,729,6520,0
1192,fluoxetine,a0,16,203,714,6327,1
467,fluphenazine,a0,0,2,730,6528,0
222,flurandrenolide,a0,0,1,730,6529,0
254,flurandrenolide preparation,a0,0,1,730,6529,0
276,flurandrenolone,a0,0,1,730,6529,0
219,flurazepam,a0,0,1,730,6529,0
526,flurbiprofen,a0,0,3,730,6527,2
1248,fluticasone,a0,61,629,669,5901,0
416,fluvoxamine,a0,0,2,730,6528,1
1271,folic acid,a0,55,653,675,5877,0
1270,folic acid preparation,a0,55,653,675,5877,0
992,folinic acid,a0,8,70,722,6460,0
1101,fondaparinux,a0,9,109,721,6421,1
751,formoterol,a0,15,93,715,6437,0
166,fosamprenavir,a0,1,2,729,6528,0
57,foscarnet,a0,4,1,726,6529,5
385,fosinopril,a0,4,17,726,6513,2
480,fosphenytoin,a0,7,34,723,6496,0
4,furosemide,a0,230,1298,500,5232,4
1260,gabapentin,a0,88,898,642,5632,2
55,ganciclovir,a0,6,8,724,6522,4
233,ganirelix,a0,0,1,730,6529,0
672,garlic product,a0,1,9,729,6521,0
363,gemcitabine,a0,2,7,728,6523,2
782,gemfibrozil,a0,3,22,727,6508,2
1045,gentamicin sulfate,a0,2,47,728,6483,3
1046,gentamicin sulfate (usp),a0,2,47,728,6483,3
1047,gentamycin sulfate,a0,2,47,728,6483,3
309,ginger,a0,0,1,730,6529,0
747,ginkgo,a0,0,7,730,6523,0
737,ginkgo biloba,a0,0,7,730,6523,0
731,ginkgo biloba extract,a0,0,7,730,6523,0
750,ginkgo biloba preparation,a0,0,7,730,6523,0
657,ginseng,a0,0,5,730,6525,0
660,ginseng extract,a0,0,5,730,6525,0
659,ginseng product,a0,0,5,730,6525,0
540,glacial acetic acid,a0,0,3,730,6527,0
725,glargine,a0,97,715,633,5815,0
613,glatiramer,a0,0,4,730,6526,0
874,glimepiride,a0,10,69,720,6461,0
36,glipizide,a0,21,82,709,6448,1
179,globulin immune (iv),a0,11,53,719,6477,2
1071,glucagon,a0,7,86,723,6444,0
1070,glucagon product,a0,7,86,723,6444,0
828,glucosamine,a0,2,20,728,6510,0
884,glucose,a0,185,1444,545,5086,1
883,glucose preparation,a0,185,1444,545,5086,1
604,glutamine,a0,0,4,730,6526,0
1053,glyburide,a0,6,73,724,6457,1
963,glycerin,a0,2,30,728,6500,0
965,glycerol,a0,2,30,728,6500,0
1311,glycopyrrolate,a0,54,1051,676,5479,0
472,granisetron,a0,1,5,729,6525,0
410,grape seed extract,a0,0,2,730,6528,0
211,green tea,a0,0,1,730,6529,0
1261,guaifenesin,a0,23,385,707,6145,0
538,guanfacine,a0,0,3,730,6527,1
454,guar gum,a0,0,2,730,6528,0
1245,haloperidol,a0,22,326,708,6204,0
66,heparin,a0,99,697,631,5833,2
512,hepatitis a,a0,0,3,730,6527,0
505,hepatitis a vaccine (inactivated),a0,0,3,730,6527,0
537,hepatitis a virus vaccine,a0,0,3,730,6527,0
136,hepatitis b hyperimmune globulin,a0,1,1,729,6529,0
133,hepatitis b immune globulin,a0,1,1,729,6529,0
131,hepatitis b immune globulin (human),a0,1,1,729,6529,0
147,hepatitis b immune globulin human,a0,1,1,729,6529,0
1120,hetastarch,a0,7,99,723,6431,1
339,hexachlorophene,a0,0,1,730,6529,0
679,homatropine,a0,3,18,727,6512,0
316,human c1 esterase inhibitor,a0,0,1,730,6529,0
327,human growth hormone,a0,0,1,730,6529,0
228,human immunoglobulin,a0,0,1,730,6529,2
234,human immunoglobulin product,a0,0,1,730,6529,2
1106,human insulin,a0,38,319,692,6211,0
